region_id,region,zip
99476,97904; OR; Harney County; Drewsey,97904
99475,97903; OR; Ontario; Malheur County; Brogan,97903
99474,97902; OR; Ontario; Malheur County; Jordan Valley,97902
99473,97901; OR; Ontario; Malheur County; Adrian,97901
99472,97886; OR; Hermiston-Pendleton; Umatilla County; Weston,97886
99471,97885; OR; Wallowa County; Wallowa,97885
99470,97884; OR; Baker County; Unity,97884
99469,97883; OR; La Grande; Union County; Union,97883
99468,97882; OR; Hermiston-Pendleton; Umatilla County; Umatilla,97882
99467,97880; OR; Hermiston-Pendleton; Umatilla County; Ukiah,97880
99466,97877; OR; Baker County; Sumpter,97877
99465,97876; OR; La Grande; Union County; Summerville,97876
99464,97875; OR; Hermiston-Pendleton; Umatilla County; Stanfield,97875
99463,97874; OR; Wheeler County; Spray,97874
99461,97870; OR; Baker County; Richland,97870
99460,97869; OR; Grant County; Prairie City,97869
99459,97868; OR; Hermiston-Pendleton; Umatilla County; Pilot Rock,97868
99458,97867; OR; La Grande; Union County; North Powder,97867
99457,97865; OR; Grant County; Mount Vernon,97865
99456,97864; OR; Grant County; Mount Vernon,97864
99455,97862; OR; Hermiston-Pendleton; Umatilla County; Milton Freewater,97862
99453,97859; OR; Hermiston-Pendleton; Umatilla County; Pendleton,97859
99452,97857; OR; Wallowa County; Lostine,97857
99450,97850; OR; La Grande; Union County,97850
99449,97848; OR; Grant County; Kimberly,97848
99448,97846; OR; Wallowa County; Joseph,97846
99447,97845; OR; Grant County; John Day,97845
99446,97844; OR; Hermiston-Pendleton; Morrow County; Irrigon,97844
99445,97843; OR; Hermiston-Pendleton; Morrow County; Ione,97843
99444,97842; OR; Wallowa County; Imnaha,97842
99443,97841; OR; La Grande; Union County; Imbler,97841
99442,97840; OR; Baker County; Halfway,97840
99441,97839; OR; Hermiston-Pendleton; Morrow County; Lexington,97839
99440,97838; OR; Hermiston-Pendleton; Umatilla County; Hermiston,97838
99439,97837; OR; Baker County; Hereford,97837
99438,97836; OR; Hermiston-Pendleton; Morrow County; Heppner,97836
99437,97835; OR; Hermiston-Pendleton; Umatilla County; Helix,97835
99436,97834; OR; Baker County; Halfway,97834
99435,97833; OR; Baker County; Haines,97833
99434,97830; OR; Wheeler County; Fossil,97830
99433,97828; OR; Wallowa County; Enterprise,97828
99432,97827; OR; La Grande; Union County; Elgin,97827
99431,97826; OR; Hermiston-Pendleton; Umatilla County; Echo,97826
99430,97825; OR; Grant County; Mount Vernon,97825
99429,97824; OR; La Grande; Union County; Cove,
99428,97823; OR; Gilliam County; Condon,97823
99427,97820; OR; Grant County; Canyon City,97820
99426,97819; OR; Baker County; Bridgeport,97819
99425,97818; OR; Hermiston-Pendleton; Morrow County; Boardman,97818
99423,97814; OR; Baker County; Baker City,97814
99422,97813; OR; Hermiston-Pendleton; Umatilla County; Athena,97813
99421,97812; OR; Gilliam County; Arlington,97812
99420,97810; OR; Hermiston-Pendleton; Umatilla County; Adams,97810
99419,97801; OR; Hermiston-Pendleton; Umatilla County; Pendleton,97801
99417,97760; OR; Jefferson County; Terrebonne,97760
99416,97759; OR; Bend-Redmond; Deschutes County; Sisters,97759
99414,97756; OR; Bend-Redmond; Deschutes County; Redmond,97756
99413,97754; OR; Prineville; Crook County,97754
99412,97753; OR; Prineville; Crook County; Powell Butte,97753
99411,97752; OR; Prineville; Crook County; Post,97752
99410,97751; OR; Prineville; Crook County; Paulina,97751
99409,97750; OR; Wheeler County; Mitchell,
99408,97741; OR; Jefferson County; Madras,97741
99407,97739; OR; Bend-Redmond; Deschutes County; La Pine,97739
99406,97738; OR; Harney County; Hines,97738
99405,97737; OR; Klamath Falls; Klamath County; Gilchrist,97737
99404,97736; OR; Harney County; Frenchglen,97736
99402,97734; OR; Jefferson County; Culver,97734
99401,97733; OR; Klamath Falls; Klamath County; Crescent Lake,97733
99400,97732; OR; Harney County; Crane,97732
99399,97731; OR; Klamath Falls; Klamath County; Chemult,
99398,97730; OR; Jefferson County; Camp Sherman,97730
99397,97722; OR; Harney County; Diamond,97722
99396,97721; OR; Harney County; Princeton,97721
99395,97720; OR; Harney County; Burns,97720
99394,97712; OR; Bend-Redmond; Deschutes County; Brothers,97712
99389,97707; OR; Bend-Redmond; Deschutes County; Bend,
99388,97702; OR; Bend-Redmond; Deschutes County; Bend,97702
99387,97701; OR; Bend-Redmond; Deschutes County; Bend,97701
99386,97641; OR; Lake County; Christmas Valley,97641
99385,97640; OR; Lake County; Summer Lake,97640
99384,97639; OR; Klamath Falls; Klamath County; Sprague River,97639
99383,97638; OR; Lake County; Silver Lake,97638
99382,97637; OR; Lake County; Plush,97637
99381,97636; OR; Lake County; Paisley,97636
99380,97635; CA; Modoc County; New Pine Creek,97635
99379,97634; OR; Klamath Falls; Klamath County,97634
99378,97633; OR; Klamath Falls; Klamath County; Merrill,97633
99377,97632; OR; Klamath Falls; Klamath County; Malin,97632
99376,97630; OR; Lake County; Lakeview,97630
99375,97627; OR; Klamath Falls; Klamath County; Keno,97627
99374,97626; OR; Klamath Falls; Klamath County; Fort Klamath,97626
99373,97625; OR; Klamath Falls; Klamath County; Dairy,97625
99372,97624; OR; Klamath Falls; Klamath County; Chiloquin,97624
99371,97623; OR; Klamath Falls; Klamath County; Bonanza,97623
99370,97622; OR; Klamath Falls; Klamath County; Bly,97622
99369,97621; OR; Klamath Falls; Klamath County; Beatty,
99366,97603; OR; Klamath Falls; Klamath County,97603
99364,97601; OR; Klamath Falls; Klamath County,97601
99363,97544; OR; Grants Pass; Josephine County; Williams,97544
99362,97543; OR; Grants Pass; Josephine County,97543
99361,97541; OR; Medford; Jackson County; Trail,97541
99360,97540; OR; Medford; Jackson County; Talent,97540
99359,97539; OR; Medford; Jackson County; Shady Cove,
99358,97538; OR; Grants Pass; Josephine County; Selma,97538
99357,97537; OR; Medford; Jackson County; Rogue River,97537
99356,97536; OR; Medford; Jackson County; Prospect,97536
99355,97535; OR; Medford; Jackson County; Phoenix,97535
99354,97534; OR; Grants Pass; Josephine County; O Brien,97534
99352,97532; OR; Grants Pass; Josephine County; Merlin,97532
99351,97531; OR; Grants Pass; Josephine County; Cave Junction,97531
99350,97530; OR; Medford; Jackson County; Jacksonville,97530
99348,97527; OR; Grants Pass; Josephine County,97527
99347,97526; OR; Grants Pass; Josephine County,97526
99346,97525; OR; Medford; Jackson County; Gold Hill,97525
99345,97524; OR; Medford; Jackson County; Eagle Point,97524
99344,97523; OR; Grants Pass; Josephine County; Cave Junction,97523
99343,97522; OR; Medford; Jackson County; Butte Falls,97522
